State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Region
Andaman and Nicobar Islands,2021,4,744202,21913,67790798.04849821,Southern Region
Andaman and Nicobar Islands,2021,4,744107,21397,52036029.9980372,Southern Region
Andaman and Nicobar Islands,2021,4,744112,18915,55448543.43365714,Southern Region
Andaman and Nicobar Islands,2021,4,744301,14553,47792330.70050094,Southern Region
Andaman and Nicobar Islands,2022,1,744101,209941,615978080.6944855,Southern Region
Andaman and Nicobar Islands,2022,1,744103,157230,399715980.1391735,Southern Region
Andaman and Nicobar Islands,2022,1,744105,122716,321850608.7396423,Southern Region
Andaman and Nicobar Islands,2022,1,744102,74883,193336549.9417873,Southern Region
Andaman and Nicobar Islands,2022,1,744104,32471,72915521.83614868,Southern Region
Andaman and Nicobar Islands,2022,1,744211,30272,86955570.58655272,Southern Region
Andaman and Nicobar Islands,2022,1,744107,25379,58776727.62636636,Southern Region
Andaman and Nicobar Islands,2022,1,744202,24022,68519268.77643085,Southern Region
Andaman and Nicobar Islands,2022,1,744112,23471,55469783.6622991,Southern Region
Andaman and Nicobar Islands,2022,1,744301,17630,56879992.28461884,Southern Region
Andaman and Nicobar Islands,2022,2,744101,252722,702122365.3629664,Southern Region
Andaman and Nicobar Islands,2022,2,744103,230746,561168775.5622396,Southern Region
Andaman and Nicobar Islands,2022,2,744105,176252,415796516.6034926,Southern Region
Andaman and Nicobar Islands,2022,2,744102,101551,240451609.192299,Southern Region
Andaman and Nicobar Islands,2022,2,744104,47069,94335358.34017952,Southern Region
Andaman and Nicobar Islands,2022,2,744211,40245,108788594.62847151,Southern Region
Andaman and Nicobar Islands,2022,2,744107,36402,82851064.58195859,Southern Region
Andaman and Nicobar Islands,2022,2,744112,32548,70178309.12885833,Southern Region
Andaman and Nicobar Islands,2022,2,744202,27750,84587978.8405464,Southern Region
Andaman and Nicobar Islands,2022,2,744301,26170,74485462.68044695,Southern Region
Andaman and Nicobar Islands,2022,3,744104,497273,951370315.4090765,Southern Region
Andaman and Nicobar Islands,2022,3,744103,259994,545653686.3062732,Southern Region
Andaman and Nicobar Islands,2022,3,744101,213864,444967255.802143,Southern Region
Andaman and Nicobar Islands,2022,3,744105,208055,438754611.53752655,Southern Region
Andaman and Nicobar Islands,2022,3,744102,114416,239581586.790242,Southern Region
Andaman and Nicobar Islands,2022,3,744107,40466,85492008.49477127,Southern Region
Andaman and Nicobar Islands,2022,3,744112,38350,74030563.48358011,Southern Region
Andaman and Nicobar Islands,2022,3,744211,37918,89671382.06901145,Southern Region
Andaman and Nicobar Islands,2022,3,744202,29918,85509005.84576747,Southern Region
Andaman and Nicobar Islands,2022,3,744301,27668,70002553.35288173,Southern Region
Andaman and Nicobar Islands,2022,4,744104,684366,1309407988.2902,Southern Region
Andaman and Nicobar Islands,2022,4,744103,304600,612929267.1773143,Southern Region
Andaman and Nicobar Islands,2022,4,744105,258097,505662756.11289376,Southern Region
Andaman and Nicobar Islands,2022,4,744101,243494,467192496.173912,Southern Region
Andaman and Nicobar Islands,2022,4,744102,134923,264371699.7390405,Southern Region
Andaman and Nicobar Islands,2022,4,744211,56491,137253267.666129,Southern Region
Andaman and Nicobar Islands,2022,4,744107,54192,104539818.4712722,Southern Region
Andaman and Nicobar Islands,2022,4,744112,46364,82461782.47749999,Southern Region
Andaman and Nicobar Islands,2022,4,744202,34689,94217164.85909571,Southern Region
Andaman and Nicobar Islands,2022,4,744301,33669,82466591.07632071,Southern Region
Andhra Pradesh,2018,1,517501,110496,163487278.844495,Southern Region
Andhra Pradesh,2018,1,520001,96883,170605900.5466873,Southern Region
Andhra Pradesh,2018,1,515001,92754,133522310.7570418,Southern Region
Andhra Pradesh,2018,1,517507,88132,127450018.2101582,Southern Region
Andhra Pradesh,2018,1,516001,84644,131194265.5243713,Southern Region
Andhra Pradesh,2018,1,518502,82421,68040306.13881023,Southern Region
Andhra Pradesh,2018,1,530016,81891,140880970.0990568,Southern Region
Andhra Pradesh,2018,1,520010,69581,119009921.9740181,Southern Region
Andhra Pradesh,2018,1,516360,68340,101612118.8848064,Southern Region
Andhra Pradesh,2018,1,518501,68193,81006512.71677604,Southern Region
Andhra Pradesh,2018,2,517501,165506,305629373.15863353,Southern Region
Andhra Pradesh,2018,2,518502,140893,127814123.8739484,Southern Region
Andhra Pradesh,2018,2,515001,129798,285924993.6163615,Southern Region
Andhra Pradesh,2018,2,517507,127731,243405277.90481392,Southern Region
Andhra Pradesh,2018,2,520001,123176,271911611.0495833,Southern Region
Andhra Pradesh,2018,2,516001,114806,242175477.6115077,Southern Region
Andhra Pradesh,2018,2,530016,111874,235770318.03054443,Southern Region
Andhra Pradesh,2018,2,520010,100630,220730389.6490364,Southern Region
Andhra Pradesh,2018,2,516360,96619,197068813.6044728,Southern Region
Andhra Pradesh,2018,2,518501,93442,163942778.2294757,Southern Region
Andhra Pradesh,2018,3,518502,1300146,709765829.9649723,Southern Region
Andhra Pradesh,2018,3,533437,421968,240766495.05853492,Southern Region
Andhra Pradesh,2018,3,518501,296154,291247918.8462258,Southern Region
Andhra Pradesh,2018,3,517501,295403,466133618.6014985,Southern Region
Andhra Pradesh,2018,3,515001,276595,438158383.22472745,Southern Region
Andhra Pradesh,2018,3,530016,234494,380410223.1952694,Southern Region
Andhra Pradesh,2018,3,517507,233347,386563858.68986833,Southern Region
Andhra Pradesh,2018,3,516259,220165,109844218.67129199,Southern Region
Andhra Pradesh,2018,3,520011,213275,291805923.0011127,Southern Region
Andhra Pradesh,2018,3,520001,206435,371140000.3074022,Southern Region
Andhra Pradesh,2018,4,518502,441662,332201263.2829269,Southern Region
Andhra Pradesh,2018,4,517501,423357,714887920.0334858,Southern Region
Andhra Pradesh,2018,4,530016,367619,575982481.3389585,Southern Region
Andhra Pradesh,2018,4,515001,355695,651952970.9302757,Southern Region
Andhra Pradesh,2018,4,517507,318300,594747982.0458119,Southern Region
Andhra Pradesh,2018,4,530003,277131,356075793.8585543,Southern Region
Andhra Pradesh,2018,4,516001,269798,572252390.1920383,Southern Region
Andhra Pradesh,2018,4,520010,250261,492229977.1570113,Southern Region
Andhra Pradesh,2018,4,530017,248725,326891428.6027137,Southern Region
Andhra Pradesh,2018,4,518501,248520,357423401.5571966,Southern Region
Andhra Pradesh,2019,1,530001,950821,1529039457.641959,Southern Region
Andhra Pradesh,2019,1,517501,922416,1244725311.457396,Southern Region
Andhra Pradesh,2019,1,520001,814616,1462807205.6274219,Southern Region
Andhra Pradesh,2019,1,530016,684611,960022481.5524918,Southern Region
Andhra Pradesh,2019,1,517507,671661,1009128524.8128461,Southern Region
Andhra Pradesh,2019,1,515001,609682,1009938283.846441,Southern Region
Andhra Pradesh,2019,1,518502,545426,389782596.9665674,Southern Region
Andhra Pradesh,2019,1,530003,527667,590799502.8850918,Southern Region
Andhra Pradesh,2019,1,530017,472914,531596255.9349663,Southern Region
Andhra Pradesh,2019,1,520010,460133,774931063.0289192,Southern Region
Andhra Pradesh,2019,2,530001,2602865,5218795715.70141,Southern Region
Andhra Pradesh,2019,2,520001,1828617,3823390190.092234,Southern Region
Andhra Pradesh,2019,2,517501,949187,1669949938.507695,Southern Region
Andhra Pradesh,2019,2,522001,839909,1759418775.9809792,Southern Region
Andhra Pradesh,2019,2,530016,793798,1257915825.56886,Southern Region
Andhra Pradesh,2019,2,517507,760335,1412863012.2407691,Southern Region
Andhra Pradesh,2019,2,515001,567306,1282118916.209419,Southern Region
Andhra Pradesh,2019,2,530003,520142,718170914.395836,Southern Region
Andhra Pradesh,2019,2,520010,490697,973983824.5472903,Southern Region
Andhra Pradesh,2019,2,530017,480905,650710126.3382195,Southern Region
Andhra Pradesh,2019,3,530001,2944756,6693257653.901132,Southern Region
Andhra Pradesh,2019,3,520001,1905190,4414503365.699516,Southern Region
Andhra Pradesh,2019,3,517501,1434209,2203932856.297207,Southern Region
Andhra Pradesh,2019,3,530016,1196020,1658162548.562835,Southern Region
Andhra Pradesh,2019,3,517507,1060513,1854927351.736656,Southern Region
Andhra Pradesh,2019,3,522001,1003916,2216532548.7258,Southern Region
Andhra Pradesh,2019,3,515001,868052,1667826831.8650482,Southern Region
Andhra Pradesh,2019,3,530003,858005,970993081.1712441,Southern Region
Andhra Pradesh,2019,3,530017,799271,911939243.0618923,Southern Region
Andhra Pradesh,2019,3,530026,711726,1095056835.985812,Southern Region
Andhra Pradesh,2019,4,530001,4185063,9160387223.4497,Southern Region
Andhra Pradesh,2019,4,520001,2544877,5933007156.535349,Southern Region
Andhra Pradesh,2019,4,517501,1920211,3073084029.925662,Southern Region
Andhra Pradesh,2019,4,530016,1591033,2295184224.145106,Southern Region
Andhra Pradesh,2019,4,530026,1438154,2509394595.541451,Southern Region
Andhra Pradesh,2019,4,517507,1406768,2478459132.770593,Southern Region
Andhra Pradesh,2019,4,522001,1324202,2927313967.683236,Southern Region
Andhra Pradesh,2019,4,515001,1202983,2376869516.684207,Southern Region
Andhra Pradesh,2019,4,530003,1131832,1339103327.8879209,Southern Region
Andhra Pradesh,2019,4,530017,1084796,1266927471.331795,Southern Region
Andhra Pradesh,2020,1,530026,6695271,15258657486.86227,Southern Region
Andhra Pradesh,2020,1,517501,2196548,3731404465.729061,Southern Region
Andhra Pradesh,2020,1,530016,1661816,2593325339.0472875,Southern Region
Andhra Pradesh,2020,1,517507,1554974,2719620696.0325623,Southern Region
Andhra Pradesh,2020,1,515001,1346804,2696427930.675503,Southern Region
Andhra Pradesh,2020,1,530003,1159480,1519955258.5314603,Southern Region
Andhra Pradesh,2020,1,524002,1125194,2653339803.95633,Southern Region
Andhra Pradesh,2020,1,530017,1104748,1412381495.944027,Southern Region
Andhra Pradesh,2020,1,520010,1098395,2059547223.1742198,Southern Region
Andhra Pradesh,2020,1,522001,1058410,2575723775.048839,Southern Region
Andhra Pradesh,2020,2,530026,4994637,12817902607.01758,Southern Region
Andhra Pradesh,2020,2,517501,1708935,3203679955.4885283,Southern Region
Andhra Pradesh,2020,2,517507,1575118,2854711069.441047,Southern Region
Andhra Pradesh,2020,2,524002,1553283,3993963025.685268,Southern Region
Andhra Pradesh,2020,2,530016,1067022,1893629834.03933,Southern Region
Andhra Pradesh,2020,2,516001,1066066,2616099329.332247,Southern Region
Andhra Pradesh,2020,2,515001,1026587,2447755903.0735493,Southern Region
Andhra Pradesh,2020,2,518002,979822,2015820866.3250332,Southern Region
Andhra Pradesh,2020,2,522001,963666,2678051229.4738717,Southern Region
Andhra Pradesh,2020,2,520002,956641,2767045048.199532,Southern Region
Andhra Pradesh,2020,3,524002,5194663,13718743729.178452,Southern Region
Andhra Pradesh,2020,3,530026,4159532,10383207817.795238,Southern Region
Andhra Pradesh,2020,3,517501,2735691,5544720473.076229,Southern Region
Andhra Pradesh,2020,3,516001,2534360,6637577271.358326,Southern Region
Andhra Pradesh,2020,3,517507,2306174,4594510974.325968,Southern Region
Andhra Pradesh,2020,3,520002,2238996,6543183825.055463,Southern Region
Andhra Pradesh,2020,3,530016,1921871,3560898943.2434177,Southern Region
Andhra Pradesh,2020,3,515001,1669413,4116758527.0958123,Southern Region
Andhra Pradesh,2020,3,522001,1625687,4701116488.838855,Southern Region
Andhra Pradesh,2020,3,518002,1514873,3352462441.224156,Southern Region
Andhra Pradesh,2020,4,524002,5029692,12810644736.25032,Southern Region
Andhra Pradesh,2020,4,530026,4235146,9849636860.464972,Southern Region
Andhra Pradesh,2020,4,517501,4125544,7866883789.381668,Southern Region
Andhra Pradesh,2020,4,517507,3420778,6749696775.855953,Southern Region
Andhra Pradesh,2020,4,516001,3119905,8005247952.077285,Southern Region
Andhra Pradesh,2020,4,530016,2981818,5591062751.070802,Southern Region
Andhra Pradesh,2020,4,515001,2821800,6442101736.915546,Southern Region
Andhra Pradesh,2020,4,518002,2219953,4809927717.53976,Southern Region
Andhra Pradesh,2020,4,520010,2170458,4679865894.241623,Southern Region
Andhra Pradesh,2020,4,530017,2027751,3252434512.586547,Southern Region
Andhra Pradesh,2021,1,524002,7269657,16698428355.239132,Southern Region
Andhra Pradesh,2021,1,530026,5875319,13567044097.312922,Southern Region
Andhra Pradesh,2021,1,517501,4354325,8224302893.47067,Southern Region
Andhra Pradesh,2021,1,520002,3591058,9183853695.408499,Southern Region
Andhra Pradesh,2021,1,517507,3378549,6593121540.981036,Southern Region
Andhra Pradesh,2021,1,530016,3144495,5679150412.005564,Southern Region
Andhra Pradesh,2021,1,516001,2941623,7434205012.068323,Southern Region
Andhra Pradesh,2021,1,515001,2815993,6225481722.602298,Southern Region
Andhra Pradesh,2021,1,522001,2584588,6753205746.899624,Southern Region
Andhra Pradesh,2021,1,520010,2291676,4716738889.930448,Southern Region
Andhra Pradesh,2021,2,524002,11023032,25519404146.52658,Southern Region
Andhra Pradesh,2021,2,530026,7850540,19042845773.201653,Southern Region
Andhra Pradesh,2021,2,520002,5441708,14948864290.86964,Southern Region
Andhra Pradesh,2021,2,517501,4614209,9215678010.439575,Southern Region
Andhra Pradesh,2021,2,517507,3834825,7940105016.380435,Southern Region
Andhra Pradesh,2021,2,522001,3427039,9832657321.439524,Southern Region
Andhra Pradesh,2021,2,515001,3052771,7213837063.020087,Southern Region
Andhra Pradesh,2021,2,530016,2892664,5705916880.595729,Southern Region
Andhra Pradesh,2021,2,516001,2613562,7256266063.657529,Southern Region
Andhra Pradesh,2021,2,518002,2553688,5906664130.524334,Southern Region
Andhra Pradesh,2021,3,524002,10701326,23300508690.71216,Southern Region
Andhra Pradesh,2021,3,530026,9780096,22841763578.29273,Southern Region
Andhra Pradesh,2021,3,517501,5982442,11419848822.23398,Southern Region
Andhra Pradesh,2021,3,520002,5320101,14633600592.216692,Southern Region
Andhra Pradesh,2021,3,517507,4866065,9768221617.56348,Southern Region
Andhra Pradesh,2021,3,522001,4242875,11355623168.66092,Southern Region
Andhra Pradesh,2021,3,530016,4177023,7797927714.306906,Southern Region
Andhra Pradesh,2021,3,515001,4040160,8752025049.046715,Southern Region
Andhra Pradesh,2021,3,516001,3370675,8720115499.341372,Southern Region
Andhra Pradesh,2021,3,520010,3206301,6832329071.6628275,Southern Region
Andhra Pradesh,2021,4,524002,14158439,30358274591.36768,Southern Region
Andhra Pradesh,2021,4,530026,10216678,24428085477.49295,Southern Region
Andhra Pradesh,2021,4,517501,7246667,13514835187.05692,Southern Region
Andhra Pradesh,2021,4,517507,5790910,11415016234.05956,Southern Region
Andhra Pradesh,2021,4,520002,5716025,15397268124.17119,Southern Region
Andhra Pradesh,2021,4,530016,5252680,9484946022.822403,Southern Region
Andhra Pradesh,2021,4,522001,4989759,13298088500.28115,Southern Region
Andhra Pradesh,2021,4,515001,4892740,10235401678.208149,Southern Region
Andhra Pradesh,2021,4,520010,4198904,8551737728.052567,Southern Region
Andhra Pradesh,2021,4,516001,4058071,10324818012.14627,Southern Region
Andhra Pradesh,2022,1,524002,16133298,35123754551.39545,Southern Region
Andhra Pradesh,2022,1,530026,10293117,25355928765.674084,Southern Region
Andhra Pradesh,2022,1,517501,8062447,14807178133.00592,Southern Region
Andhra Pradesh,2022,1,517507,6660899,12913687866.52672,Southern Region
Andhra Pradesh,2022,1,520002,6254668,16297042494.46791,Southern Region
Andhra Pradesh,2022,1,522001,5691035,15226428277.571112,Southern Region
Andhra Pradesh,2022,1,515001,5585462,11393585212.4795,Southern Region
Andhra Pradesh,2022,1,530016,5554647,9991176892.061853,Southern Region
Andhra Pradesh,2022,1,516001,4513789,11365056779.56283,Southern Region
Andhra Pradesh,2022,1,520010,4492155,9108501441.854177,Southern Region
Andhra Pradesh,2022,2,524002,18822839,40556750377.6809,Southern Region
Andhra Pradesh,2022,2,530026,12256092,29600523030.089478,Southern Region
