State,Year,Quarter,District,Transaction_count,Transaction_amount,Latitude,Longitude,Region
Andaman and Nicobar Islands,2019,2,Nicobars,1828,9111650.82436246,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,3,North and Middle Andaman,4049,11481466.28335679,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,3,South Andaman,27421,91023888.32848613,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,3,Nicobars,2300,11566421.47545101,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,4,North and Middle Andaman,4716,13524056.784573939,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,4,South Andaman,27843,110930312.2061162,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,4,Nicobars,2600,12384161.52668771,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,1,North and Middle Andaman,5674,14697371.6178571,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,1,South Andaman,32713,134679396.90582752,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,1,Nicobars,2911,12099543.77359005,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,2,North and Middle Andaman,10979,22447714.061058953,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,2,South Andaman,48088,132855778.74838582,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,2,Nicobars,3895,14341508.60470232,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,3,North and Middle Andaman,16747,33486883.37042555,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,3,South Andaman,95323,282366109.2052393,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,3,Nicobars,5413,22166453.75469538,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,4,North and Middle Andaman,29349,68941322.38839513,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,4,South Andaman,186494,523122462.88302904,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,4,Nicobars,8688,35218871.04342849,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,1,North and Middle Andaman,27358,75027255.27919498,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,1,South Andaman,207092,669604045.1248703,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,1,Nicobars,10302,39075266.9856904,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,2,North and Middle Andaman,39200,90233388.79463302,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,2,South Andaman,286907,760893020.5704944,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,2,Nicobars,15307,48020606.74716837,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,3,North and Middle Andaman,46592,118254865.8275068,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,3,South Andaman,382418,1116789010.645961,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,3,Nicobars,20754,74980519.3281361,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,4,North and Middle Andaman,53115,156486112.2873243,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,4,South Andaman,558571,1694794708.0093331,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,4,Nicobars,24437,81329281.02699961,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,1,North and Middle Andaman,60059,161624878.52274162,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,1,South Andaman,705512,1872991195.9026842,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,1,Nicobars,29177,94414127.64974089,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,2,North and Middle Andaman,72573,195693167.78757262,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,2,South Andaman,954875,2357326563.362071,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,2,Nicobars,43769,132900618.93062322,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,3,North and Middle Andaman,79574,211581970.34202647,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,3,South Andaman,1455255,2967719400.849909,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,3,Nicobars,49550,131330400.94545081,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,4,North and Middle Andaman,93297,241431284.3558103,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,4,South Andaman,1835592,3600887266.099448,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,4,Nicobars,58646,142355853.9735252,10.7056905,92.48746789633373,Southern Region
Andhra Pradesh,2018,1,East Godavari,943935,1235785515.599726,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Srikakulam,458921,587778028.9183557,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Spsr Nellore,531612,676643237.8069417,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,1,Vizianagaram,420990,505783445.78161997,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,Visakhapatnam,1256469,1749966196.5049942,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,Prakasam,534757,748990775.8676485,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,1,Anantapur,638664,788830646.0324218,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,1,Ysr,487333,681481931.0936775,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,1,West Godavari,577090,853547668.7532667,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,1,Kurnool,679623,764905298.7350456,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,1,Chittoor,830324,1009621878.0870509,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Guntur,815932,1108686589.026682,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Krishna,863935,1284255179.6156201,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,2,East Godavari,1221677,2168914928.423901,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Srikakulam,559868,929392017.3670052,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Spsr Nellore,780454,1542057934.010896,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,2,Vizianagaram,529588,811711367.5080049,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,2,Visakhapatnam,1641192,2987853607.2939086,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,2,Prakasam,739991,1571167562.1276271,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,2,Anantapur,937023,1690366079.055792,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,2,Ysr,690842,1415500367.686184,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,2,West Godavari,786033,1688025212.304594,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,2,Kurnool,968439,1531888665.684323,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,2,Chittoor,1185723,1990419125.893711,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Guntur,1088101,2108475811.785996,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Krishna,1224987,2448141593.4919834,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,3,East Godavari,3226907,3551247095.3074474,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,3,Srikakulam,1073883,1318322236.598471,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,3,Spsr Nellore,1308890,2215938596.1851077,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,3,Vizianagaram,970132,1163546006.895916,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,3,Visakhapatnam,3394576,4821892253.393524,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,3,Prakasam,1319651,2346453445.483843,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,3,Anantapur,1815215,2681787750.4641647,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,3,Ysr,1557444,2235904512.2542043,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,3,West Godavari,1431282,2309078492.805814,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,3,Kurnool,2921189,2908389261.539773,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,3,Chittoor,2297429,3283517630.720593,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,3,Guntur,1912529,3127764663.180438,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,3,Krishna,2396934,3754202654.384461,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,4,East Godavari,3052762,4652624623.436675,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,4,Srikakulam,1252807,1870278609.504549,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,4,Spsr Nellore,1814997,3293448556.973445,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,4,Vizianagaram,1386787,1817673252.541776,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,4,Visakhapatnam,4791421,7366635864.849373,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,4,Prakasam,1692862,3255254226.03728,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,4,Anantapur,2286391,3975878156.3298287,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,4,Ysr,1732527,3252340063.247859,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,4,West Godavari,1688482,3237504255.4632454,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,4,Kurnool,2508530,3626544852.4069242,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,4,Chittoor,3166201,4979093890.223491,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,4,Guntur,2546620,4730251217.6969595,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,4,Krishna,2839161,5416251838.130406,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,1,East Godavari,5440146,7382264724.59952,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,1,Srikakulam,2526855,3407912878.415258,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,1,Spsr Nellore,3333584,5161932216.216368,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2019,1,Vizianagaram,2798241,3364576948.2993007,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,1,Visakhapatnam,9690866,13459857440.552681,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,1,Prakasam,2931081,4807527779.215152,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,1,Anantapur,3891336,6044730653.191345,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,1,Ysr,2852197,4915811593.896078,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2019,1,West Godavari,2829437,4623764455.47309,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,1,Kurnool,4193432,5541564892.509683,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,1,Chittoor,6486813,8223371732.233584,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,1,Guntur,4846553,7765934169.404485,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,1,Krishna,5443981,9061346433.07268,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,2,East Godavari,4699261,9116404622.476511,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,2,Srikakulam,2019203,4066576539.9368386,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,2,Spsr Nellore,3141891,6880873007.482059,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2019,2,Vizianagaram,2272320,4443041665.039663,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,2,Visakhapatnam,11705738,20797479804.02907,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,2,Prakasam,2670529,6262396448.455349,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,2,Anantapur,3578836,7830782361.377665,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,2,Ysr,2606284,6376856828.130631,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2019,2,West Godavari,2402074,5676818258.955046,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,2,Kurnool,3895824,7358285187.018034,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,2,Chittoor,5983308,10982727976.22432,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,2,Guntur,5005275,10405246943.48149,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,2,Krishna,6428472,13437029115.62075,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,3,East Godavari,6537303,11387726470.57774,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,3,Srikakulam,2556296,4610131289.524039,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,3,Spsr Nellore,4150195,8256600118.735449,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2019,3,Vizianagaram,2861581,4922069039.192161,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,3,Visakhapatnam,16694947,26944837120.04628,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,3,Prakasam,3430750,7354502261.15091,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,3,Anantapur,4889720,9554081289.488277,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,3,Ysr,3296586,7447544274.211781,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2019,3,West Godavari,3179541,6627629029.014131,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,3,Kurnool,5139134,9025632779.412457,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,3,Chittoor,8201783,13837455758.755262,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,3,Guntur,6942304,13075661264.18803,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,3,Krishna,8408474,16404073560.50078,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,4,East Godavari,9285739,16816774065.30131,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,4,Srikakulam,3712555,6832369301.879346,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,4,Spsr Nellore,5877804,11786014089.19402,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2019,4,Vizianagaram,3998234,7175851807.068796,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,4,Visakhapatnam,23594874,39133296330.044624,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,4,Prakasam,4865473,10604077824.801031,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,4,Anantapur,6764112,13887248889.06406,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,4,Ysr,4793157,10865073855.73078,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2019,4,West Godavari,4596479,9710614747.20177,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,4,Kurnool,7001958,13233105728.54823,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,4,Chittoor,11246986,19298476027.87548,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,4,Guntur,9761330,18565626418.03591,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,4,Krishna,11719402,23039786404.046642,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,1,East Godavari,11346242,21854701379.428677,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,1,Srikakulam,4835092,9777575594.177538,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,1,Spsr Nellore,7430247,15387829694.446861,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2020,1,Vizianagaram,5042066,9879174240.920494,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,1,Visakhapatnam,27115031,48809747614.67889,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,1,Prakasam,6318396,14169104764.52673,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,1,Anantapur,8466129,17864325752.82528,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,1,Ysr,6031255,14059924636.81991,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2020,1,West Godavari,5919670,12995834340.71623,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,1,Kurnool,8246869,17022710311.81304,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,1,Chittoor,13257740,23441848567.34419,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,1,Guntur,11493331,22992734620.64621,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,1,Krishna,12175289,24481702770.71471,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,2,East Godavari,13130334,26319906327.32029,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,2,Srikakulam,6425515,12153650076.87583,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,2,Spsr Nellore,9454274,20665376460.772232,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2020,2,Vizianagaram,6690313,12819344389.54538,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,2,Visakhapatnam,25300401,48293889917.414375,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,2,Prakasam,8844580,19846026726.90433,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,2,Anantapur,10473739,22094006659.412502,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,2,Ysr,8033609,19597207268.13202,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2020,2,West Godavari,7273096,16585866855.15978,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,2,Kurnool,9821381,22419372061.805172,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,2,Chittoor,14848197,27361300300.01902,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,2,Guntur,12308707,27463593607.839104,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,2,Krishna,12313709,26964149095.36629,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,3,East Godavari,17972431,39300043804.758514,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,3,Srikakulam,8286289,18029574581.33742,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,3,Spsr Nellore,16468209,39128324534.03022,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2020,3,Vizianagaram,8236703,17567816576.50126,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,3,Visakhapatnam,34421299,67628440368.111465,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,3,Prakasam,12266310,31221704852.44969,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,3,Anantapur,14447683,34102037972.657852,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,3,Ysr,11934653,32037007334.12973,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2020,3,West Godavari,10412351,25408608725.75429,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,3,Kurnool,13243292,32529351107.17173,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,3,Chittoor,20501863,42811566246.16463,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,3,Guntur,17601395,42531195809.75448,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,3,Krishna,19110457,44788458672.084435,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,4,East Godavari,25989490,58732615663.118416,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,4,Srikakulam,11092184,25222520275.27882,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,4,Spsr Nellore,20934374,49115443663.37911,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2020,4,Vizianagaram,10580824,24094847668.44506,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,4,Visakhapatnam,46551467,91879823025.40399,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,4,Prakasam,16176867,41852443493.51539,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,4,Anantapur,20996384,49732610814.26222,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,4,Ysr,15676878,42572974713.44026,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2020,4,West Godavari,15674762,40310975762.603455,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,4,Kurnool,18737323,44718203115.22612,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,4,Chittoor,29590411,61505711149.79541,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,4,Guntur,26136538,60641872021.254326,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,4,Krishna,27981050,64461504667.60723,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,1,East Godavari,26190701,60027984987.969505,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,1,Srikakulam,11160473,26486623313.092724,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,1,Spsr Nellore,22541428,52210333201.53073,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2021,1,Vizianagaram,10514582,24153782497.24324,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,1,Visakhapatnam,48248923,95308386037.84721,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,1,Prakasam,15175395,41396223622.17477,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,1,Anantapur,20102957,48353870395.01808,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,1,Ysr,15374473,42570919448.50447,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2021,1,West Godavari,16015685,42124030669.36126,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,1,Kurnool,17918524,44941629659.56964,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,1,Chittoor,29342609,60947491846.66089,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,1,Guntur,27445045,64207987853.1084,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,1,Krishna,29717175,69715406644.53485,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,2,East Godavari,31717908,74604325863.66068,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,2,Srikakulam,13546232,32298129544.54086,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,2,Spsr Nellore,30290406,72283071757.09679,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2021,2,Vizianagaram,12689494,29140685236.830723,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,2,Visakhapatnam,54390299,114439012713.3533,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,2,Prakasam,19944047,54535328043.04135,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,2,Anantapur,25123346,60987487571.27991,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,2,Ysr,18457361,52523527031.021324,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2021,2,West Godavari,20950964,57233116236.187965,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,2,Kurnool,21972396,56659287474.9958,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,2,Chittoor,34344902,73654690122.43158,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,2,Guntur,32968819,82356914463.83287,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,2,Krishna,36370960,90021923049.96454,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,3,East Godavari,39572714,89380370072.7078,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,3,Srikakulam,15639768,34836400769.87681,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,3,Spsr Nellore,34411958,77839676988.30869,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2021,3,Vizianagaram,14510005,31383541628.21252,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,3,Visakhapatnam,69220981,136945652159.2651,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,3,Prakasam,24116580,63367713446.92805,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,3,Anantapur,30366444,70291248155.64975,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,3,Ysr,22439316,60683557724.65233,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2021,3,West Godavari,26245039,66647238455.1675,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,3,Kurnool,26377809,62527453761.598076,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,3,Chittoor,42628568,89371931753.04831,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,3,Guntur,41675093,96525353090.12306,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,3,Krishna,44828275,104417897558.5897,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,4,East Godavari,48992531,106725597026.00351,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,4,Srikakulam,18501857,39713657870.15512,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,4,Spsr Nellore,41921081,92256405076.26547,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2021,4,Vizianagaram,17253059,36577529464.968704,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,4,Visakhapatnam,82711538,159530099772.73468,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,4,Prakasam,27858275,71323060008.47623,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,4,Anantapur,36129136,81239787006.64764,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,4,Ysr,26340348,69081850069.2033,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2021,4,West Godavari,33235175,81292461575.08183,16.9550574,81.4530037,Southern Region
