State,Year,Quarter,District,Registered_users,Latitude,Longitude,Region
Andhra Pradesh,2019,4,Prakasam,673522,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,1,Visakhapatnam,1763581,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,1,Krishna,1331602,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,1,East Godavari,1329664,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,1,Guntur,1289678,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,1,Chittoor,1270907,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,1,Anantapur,971850,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,1,Kurnool,936293,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,1,West Godavari,843835,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,1,Spsr Nellore,775440,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2020,1,Prakasam,748655,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,2,Visakhapatnam,1904719,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,2,East Godavari,1459116,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,2,Krishna,1459041,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,2,Guntur,1426271,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,2,Chittoor,1385916,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,2,Anantapur,1076953,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,2,Kurnool,1035093,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,2,West Godavari,944829,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,2,Spsr Nellore,854459,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2020,2,Prakasam,830709,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,3,Visakhapatnam,2058346,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,3,East Godavari,1601940,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,3,Krishna,1599289,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,3,Guntur,1567595,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,3,Chittoor,1506503,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,3,Anantapur,1186851,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,3,Kurnool,1132240,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,3,West Godavari,1053674,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,3,Spsr Nellore,937176,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2020,3,Prakasam,915240,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,4,Visakhapatnam,2209658,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,4,East Godavari,1746280,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,4,Krishna,1744028,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,4,Guntur,1712940,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,4,Chittoor,1631331,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,4,Anantapur,1295872,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2020,4,Kurnool,1230466,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,4,West Godavari,1163179,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,4,Spsr Nellore,1022944,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2020,4,Prakasam,999462,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,1,Visakhapatnam,2368081,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,1,East Godavari,1878769,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,1,Krishna,1876458,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,1,Guntur,1843237,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,1,Chittoor,1751420,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,1,Anantapur,1394849,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,1,Kurnool,1323411,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,1,West Godavari,1254117,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,1,Spsr Nellore,1100541,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2021,1,Prakasam,1075936,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,2,Visakhapatnam,2526830,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,2,East Godavari,2006272,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,2,Krishna,2002662,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,2,Guntur,1968681,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,2,Chittoor,1870723,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,2,Anantapur,1492738,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,2,Kurnool,1415585,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,2,West Godavari,1339377,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,2,Spsr Nellore,1176334,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2021,2,Prakasam,1151232,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,3,Visakhapatnam,2707931,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,3,East Godavari,2150622,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,3,Krishna,2145423,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,3,Guntur,2110878,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,3,Chittoor,2007011,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,3,Anantapur,1606735,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,3,Kurnool,1522196,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,3,West Godavari,1436576,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,3,Spsr Nellore,1263550,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2021,3,Prakasam,1239147,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,4,Visakhapatnam,2888774,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,4,East Godavari,2294347,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,4,Krishna,2288148,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,4,Guntur,2252443,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,4,Chittoor,2141818,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,4,Anantapur,1719437,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2021,4,Kurnool,1628242,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,4,West Godavari,1532898,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,4,Spsr Nellore,1349290,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2021,4,Prakasam,1325728,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2022,1,Visakhapatnam,3061324,18.110744,83.386585,Southern Region
Andhra Pradesh,2022,1,East Godavari,2432305,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,1,Krishna,2423373,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2022,1,Guntur,2387051,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,1,Chittoor,2270705,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,1,Anantapur,1827094,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2022,1,Kurnool,1729513,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2022,1,West Godavari,1626039,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2022,1,Spsr Nellore,1431664,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2022,1,Prakasam,1408929,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2022,2,Visakhapatnam,3226029,18.110744,83.386585,Southern Region
Andhra Pradesh,2022,2,East Godavari,2564165,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,2,Krishna,2552107,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2022,2,Guntur,2514794,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,2,Chittoor,2392549,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,2,Anantapur,1928213,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2022,2,Kurnool,1825280,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2022,2,West Godavari,1714357,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2022,2,Spsr Nellore,1509927,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2022,2,Prakasam,1487589,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2022,3,Visakhapatnam,3397514,18.110744,83.386585,Southern Region
Andhra Pradesh,2022,3,East Godavari,2702234,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,3,Krishna,2685215,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2022,3,Guntur,2647100,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,3,Chittoor,2517657,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,3,Anantapur,2030824,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2022,3,Kurnool,1924127,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2022,3,West Godavari,1805967,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2022,3,Spsr Nellore,1588875,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2022,3,Prakasam,1567520,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2022,4,Visakhapatnam,3566854,18.110744,83.386585,Southern Region
Andhra Pradesh,2022,4,East Godavari,2835087,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,4,Krishna,2813645,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2022,4,Guntur,2774365,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,4,Chittoor,2636036,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,4,Anantapur,2128066,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2022,4,Kurnool,2018290,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2022,4,West Godavari,1893310,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2022,4,Spsr Nellore,1663684,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2022,4,Prakasam,1642503,15.2282086,79.87449940066091,Southern Region
Arunachal Pradesh,2018,1,Papum Pare,7649,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2018,1,West Kameng,2202,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,2018,1,East Siang,1803,28.3,95.15,North-Eastern Region
Arunachal Pradesh,2018,1,Tawang,1525,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2018,1,Changlang,1208,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,2018,1,Lohit,1207,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2018,1,West Siang,846,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2018,1,Namsai,737,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2018,1,Lower Dibang Valley,601,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,2018,1,Upper Subansiri,572,28.3,94.0,North-Eastern Region
Arunachal Pradesh,2018,2,Papum Pare,11418,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2018,2,West Kameng,3442,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,2018,2,East Siang,2646,28.3,95.15,North-Eastern Region
Arunachal Pradesh,2018,2,Tawang,2266,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2018,2,Changlang,2014,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,2018,2,Lohit,1898,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2018,2,Namsai,1276,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2018,2,West Siang,1224,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2018,2,Lower Dibang Valley,893,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,2018,2,Upper Subansiri,883,28.3,94.0,North-Eastern Region
Arunachal Pradesh,2018,3,Papum Pare,16009,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2018,3,West Kameng,4765,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,2018,3,East Siang,3590,28.3,95.15,North-Eastern Region
Arunachal Pradesh,2018,3,Tawang,3112,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2018,3,Changlang,2889,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,2018,3,Lohit,2612,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2018,3,Namsai,1862,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2018,3,West Siang,1652,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2018,3,Lower Dibang Valley,1286,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,2018,3,Tirap,1226,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2018,4,Papum Pare,21342,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2018,4,West Kameng,6492,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,2018,4,East Siang,4813,28.3,95.15,North-Eastern Region
Arunachal Pradesh,2018,4,Tawang,4085,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2018,4,Changlang,4036,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,2018,4,Lohit,3588,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2018,4,Namsai,2495,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2018,4,West Siang,2117,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2018,4,Lower Dibang Valley,1827,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,2018,4,Tirap,1684,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2019,1,Papum Pare,26298,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2019,1,West Kameng,8115,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,2019,1,East Siang,5899,28.3,95.15,North-Eastern Region
Arunachal Pradesh,2019,1,Changlang,5210,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,2019,1,Tawang,5023,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2019,1,Lohit,4416,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2019,1,Namsai,3153,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2019,1,West Siang,2656,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2019,1,Lower Dibang Valley,2314,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,2019,1,Tirap,2082,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2019,2,Papum Pare,32800,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2019,2,West Kameng,9782,27.33862695,92.43336623881612,North-Eastern Region
